#srv_dead	#srv	%fail	#fail	#requests
481	1988	8.213224385720908	708637	8628000
482	1988	8.25015067222995	711823	8628000
483	1988	8.265426518312472	713141	8628000
484	1988	8.287772369031062	715069	8628000
485	1988	8.298423736671303	715988	8628000
486	1988	8.325985164580436	718366	8628000
487	1988	8.358055169216504	721133	8628000
488	1988	8.359886416318961	721291	8628000
489	1988	8.393544274455262	724195	8628000
490	1988	8.41404728789986	725964	8628000
491	1988	8.421128882707464	726575	8628000
492	1988	8.444031061659713	728551	8628000
493	1988	8.463630041724617	730242	8628000
494	1988	8.46241307371349	730137	8628000
495	1988	8.512760778859526	734481	8628000
496	1988	8.538131664348633	736670	8628000
497	1988	8.541921650440427	736997	8628000
662	1988	12.411659712563745	1070878	8628000
994	1988	22.544343996291143	1945126	8628000

